CONTACT_PERSON_ID,SUPPLIER_ID,LAST_NAME,FIRST_NAME,PHONE_NUMBER,EMAIL
1,2,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
2,3,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
3,4,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
4,5,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
5,6,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
6,7,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
7,8,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
8,9,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
9,10,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
10,11,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
11,12,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
12,13,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
13,14,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
14,15,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
15,16,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
16,17,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
17,18,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
18,19,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
19,20,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
20,21,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
21,22,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
22,23,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
23,24,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
24,25,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
25,26,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
26,27,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
27,28,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
28,29,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
29,30,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
30,31,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
31,32,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
32,33,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
33,34,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
34,35,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
35,36,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
36,37,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
37,38,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
38,39,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
39,40,"(last_name, no data)","(first_name, no data)",0000000000,"(email, no data)"
